Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
03/02/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
09/05/2021,320,4,28,76,71,62,45,42,14,4,6,0,170,150,0,74,14,85,93,22,32,0,0,0,0,1,1,1,1,0,2,2,0,0,0,2,2,0,0,1,2,2,4,10,4,3,2,0,15,13,0,6,1,15,4,1,1
12/31/2022,253,2,35,27,37,45,24,33,31,32,23,1,150,103,0,72,12,69,67,13,20,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,1,0,0,4,1,3,1,4,6,6,9,1,15,20,0,9,0,12,12,1,1
03/01/2021,313,2,26,47,81,53,45,33,34,9,11,0,156,156,1,83,16,64,93,22,35,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,4,2,4,7,3,5,0,10,16,0,7,1,8,7,3,0
07/09/2020,288,8,29,27,93,58,41,34,23,7,5,0,135,152,1,86,4,92,70,8,28,0,0,0,0,1,2,5,0,0,4,4,0,3,0,3,2,0,0,0,4,3,2,10,5,3,2,0,13,16,0,7,2,15,4,0,1
07/21/2021,217,0,11,38,60,52,26,24,9,4,4,0,120,97,0,33,10,69,72,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,0,0,2,0,8,3,0,2,0,6,3,0,0
11/07/2020,1568,14,113,181,392,337,265,187,113,54,39,0,824,744,0,636,49,228,420,59,176,0,0,1,1,1,1,4,6,0,9,5,0,3,0,4,7,0,0,1,7,7,16,23,24,12,23,0,59,54,0,35,5,39,26,5,3
03/16/2020,77,1,14,1,13,21,18,12,7,4,1,0,36,41,0,9,6,25,31,1,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,3,2,1,1,0,4,10,0,1,0,10,3,0,0
03/09/2022,170,3,10,52,28,34,18,19,12,6,1,0,90,75,5,27,12,38,56,7,30,0,0,0,1,0,1,1,0,0,2,1,0,1,0,1,1,0,0,1,1,1,1,2,3,1,0,0,8,2,0,2,1,5,2,0,0
10/15/2022,208,2,22,15,31,32,27,35,35,19,14,0,119,89,0,37,13,57,62,11,28,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,2,0,2,2,2,3,7,4,0,10,12,0,1,0,10,9,1,1
03/14/2021,180,4,18,24,53,36,31,17,14,5,0,0,85,95,0,39,8,33,73,10,17,0,0,0,0,0,2,1,1,0,2,2,0,1,0,2,1,0,0,1,1,3,1,4,4,3,1,0,9,9,0,1,0,10,6,1,0
